Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
15778;3079;Appartement;22;1
15779;3079;Appartement;44;2
15780;3146;Appartement;49;2
15781;3078;Appartement;18;1
15782;3136;Appartement;56;3
15783;3151;Appartement;52;3
15784;3133;Appartement;62;1
15785;3133;Appartement;37;2
15786;3133;Appartement;71;3
15787;11;Appartement;67;3
15788;81;Appartement;23;1
15789;148;Appartement;20;1
15790;219;Maison;44;3
15791;203;Appartement;37;1
15792;262;Appartement;178;4
15793;262;Appartement;150;5
15794;302;Appartement;76;3
15795;299;Appartement;35;2
15796;372;Appartement;35;2
15797;368;Appartement;54;2
15798;370;Appartement;24;2
15799;425;Appartement;42;2
15800;448;Appartement;105;4
15801;472;Appartement;90;3
15802;564;Appartement;40;2
15803;584;Appartement;80;3
15804;797;Appartement;45;2
15805;783;Appartement;50;1
15806;810;Appartement;22;1
15807;810;Appartement;22;1
15808;786;Appartement;31;2
15809;786;Appartement;24;2
15810;822;Appartement;16;1
15811;970;Appartement;64;3
15812;1080;Appartement;45;3
15813;1237;Appartement;73;4
15814;1204;Appartement;75;3
15815;1361;Maison;145;6
15816;1359;Appartement;45;2
15817;1482;Appartement;50;3
15818;1776;Appartement;23;1
15819;1825;Appartement;76;3
15820;1910;Appartement;33;1
15821;2057;Appartement;109;4
15822;3195;Appartement;180;5
15823;3195;Appartement;110;4
15824;3200;Appartement;50;3
15825;3200;Appartement;22;1
15826;3199;Appartement;127;5
15827;3202;Appartement;75;4
15828;3202;Appartement;10;1
15829;3201;Appartement;47;2
15830;3203;Appartement;17;1
15831;3207;Appartement;104;4
15832;3207;Appartement;35;2
15833;3207;Appartement;26;1
15834;3211;Appartement;30;2
15835;2357;Appartement;87;4
15836;2345;Appartement;31;1
15837;2342;Appartement;35;1
15838;2257;Appartement;21;1
15839;2425;Appartement;52;3
15840;2412;Appartement;70;3
15841;2412;Appartement;56;3
15842;2745;Appartement;49;2
15843;2853;Appartement;74;4
15844;2848;Appartement;57;3
15845;2948;Appartement;38;2
15846;2952;Appartement;10;1
15847;2954;Appartement;126;4
15848;2942;Appartement;68;3
15849;2992;Appartement;82;5
15850;3011;Appartement;25;2
15851;3013;Appartement;108;4
15852;3017;Appartement;65;3
15853;2990;Appartement;39;2
15854;3007;Appartement;79;3
15855;3025;Appartement;40;2
15856;3046;Appartement;44;2
15857;3030;Appartement;22;2
15858;3024;Appartement;65;3
15859;3159;Appartement;19;1
15860;3149;Appartement;109;5
15861;3139;Appartement;33;1
15862;3139;Appartement;56;3
15863;38;Appartement;35;3
15864;36;Appartement;74;3
15865;204;Appartement;68;4
15866;201;Appartement;80;3
15867;163;Appartement;49;2
15868;150;Maison;89;3
15869;302;Appartement;31;3
15870;325;Appartement;92;4
15871;376;Appartement;37;2
15872;386;Appartement;63;3
15873;390;Appartement;61;3
15874;666;Appartement;58;3
15875;711;Appartement;108;3
15876;809;Appartement;48;2
15877;826;Maison;120;4
15878;965;Appartement;90;4
15879;1033;Appartement;57;2
15880;1054;Appartement;108;3
15881;1054;Appartement;68;2
15882;1060;Appartement;74;3
15883;1099;Appartement;50;2
15884;1084;Appartement;35;1
15885;1248;Appartement;58;3
15886;1212;Appartement;67;3
15887;1212;Appartement;71;4
15888;1204;Appartement;120;4
15889;1205;Appartement;19;1
15890;1204;Appartement;40;2
15891;1279;Appartement;45;2
15892;1281;Appartement;52;2
15893;1277;Appartement;19;1
15894;1279;Maison;80;4
15895;1507;Appartement;78;4
15896;1608;Appartement;79;3
15897;1629;Appartement;63;3
15898;1741;Appartement;62;3
15899;1801;Appartement;31;1
15900;1887;Maison;45;2
15901;2102;Appartement;24;2
15902;2098;Appartement;35;1
15903;2126;Appartement;100;4
15904;2131;Appartement;60;3
15905;3214;Appartement;29;1
15906;3200;Appartement;70;4
15907;3198;Appartement;48;3
15908;3201;Appartement;32;3
15909;3204;Appartement;50;3
15910;3205;Appartement;26;2
15911;3207;Appartement;29;2
15912;3207;Appartement;86;3
15913;3209;Appartement;105;2
15914;3209;Appartement;180;4
15915;3209;Appartement;15;1
15916;3209;Appartement;68;4
15917;3210;Appartement;28;2
15918;3212;Appartement;56;3
15919;3211;Appartement;26;1
15920;2229;Appartement;25;1
15921;2431;Appartement;57;2
15922;2443;Maison;103;5
15923;2473;Appartement;43;2
15924;2476;Appartement;61;3
15925;2510;Appartement;50;2
15926;2408;Appartement;28;1
15927;2447;Appartement;19;1
15928;2568;Appartement;114;3
15929;2638;Appartement;88;3
15930;2577;Appartement;64;3
15931;2626;Appartement;22;1
15932;2626;Appartement;63;3
15933;2630;Appartement;31;1
15934;2871;Appartement;49;2
15935;2878;Appartement;53;2
15936;2881;Appartement;64;3
15937;2923;Appartement;23;1
15938;2874;Maison;80;5
15939;2933;Maison;83;4
15940;2825;Appartement;73;3
15941;2965;Appartement;51;3
15942;2965;Appartement;27;1
15943;2953;Appartement;43;2
15944;2950;Appartement;49;3
15945;2952;Appartement;28;1
15946;2954;Appartement;65;3
15947;2954;Appartement;72;3
15948;3016;Appartement;18;1
15949;3012;Appartement;17;1
15950;3024;Appartement;80;4
15951;3060;Appartement;63;3
15952;3065;Appartement;46;2
15953;3063;Appartement;50;3
15954;3019;Appartement;36;2
15955;3049;Appartement;60;3
15956;3051;Appartement;20;1
15957;3155;Appartement;40;1
15958;3179;Appartement;35;2
15959;166;Appartement;60;2
15960;187;Appartement;45;1
15961;226;Appartement;43;2
15962;226;Appartement;65;3
15963;149;Appartement;50;2
15964;148;Maison;84;4
15965;143;Maison;72;4
15966;150;Appartement;28;1
15967;150;Appartement;36;1
15968;217;Appartement;105;4
15969;227;Maison;63;3
15970;258;Appartement;46;2
15971;300;Appartement;31;2
15972;300;Appartement;37;2
15973;299;Appartement;41;2
15974;329;Appartement;88;4
15975;331;Maison;139;5
15976;325;Appartement;45;2
15977;374;Appartement;31;2
15978;367;Appartement;99;7
15979;368;Appartement;20;1
15980;370;Appartement;23;1
15981;393;Appartement;65;3
15982;390;Appartement;24;1
15983;415;Appartement;39;2
15984;415;Appartement;27;1
15985;437;Appartement;80;3
15986;564;Appartement;61;2
15987;564;Appartement;94;3
15988;572;Maison;55;1
15989;603;Maison;109;6
15990;644;Appartement;50;3
